"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"gene93",0.309531851397565,0.503303823410675,-161.564917531754,-164.547965877126,7,2,631.264331204458,0,0,FALSE
"gene94",0.762770933736121,0.886459012156251,-161.466528258834,-162.761900805329,7,2,718.530740297074,0,0,FALSE
"gene95",0.477387398941211,0.675548206048883,-157.257526220976,-159.516868531826,7,2,672.291838223481,0,0,FALSE
"gene96",0.0726488635656999,0.170270773982109,-154.578385735496,-159.624771779772,7,2,684.718904271952,0,0,FALSE
"gene97",0.811366892943689,0.897388676944143,-152.229293832511,-153.361884773481,7,2,462.043250261521,0,0,FALSE
"gene98",0.789050122839888,0.887253631366565,-147.760876039262,-148.969006467897,7,2,410.816739819674,0,0,FALSE
"gene99",0.0118402731062104,0.0375881685911443,-154.19840959269,-161.536409594294,7,2,722.264554344019,0,0,FALSE
"gene100",0.711346802681889,0.835477960470388,-160.437873939561,-161.901025198087,7,2,629.533351889589,0,0,FALSE
"gene101",0.408002062133557,0.612003093200336,-159.446699914281,-161.979187857691,7,2,610.23650233648,0,0,FALSE
"gene102",0.485714238458314,0.681346647745176,-146.286317026722,-148.514605474554,7,2,360.705985614142,0,0,FALSE
"gene103",0.879237869008031,0.928772396839469,-135.740951821768,-136.62876453489,7,2,254.244831848893,0,0,FALSE
"gene104",0.975968373226814,0.985229511901967,-160.959194897734,-161.367449741849,7,2,856.869176724211,0,0,FALSE
"gene105",0.194919337829558,0.371274929199158,-165.790675244326,-169.472873081236,7,2,623.99600997662,0,0,FALSE
"gene106",0.0133273016395529,0.0405907664148821,-128.081545894932,-135.275229710765,7,2,167.037500686431,0,0,FALSE
"gene107",0.9786277833245,0.985229511901967,-125.980043009751,-126.367320945525,7,2,128.818258194895,0,0,FALSE
"gene108",0.430898344422568,0.627425100755208,-154.874665066406,-157.313872102033,7,2,473.783226504156,0,0,FALSE
"gene109",0.622576066226843,0.776602161613525,-168.077344669456,-169.830026920215,7,2,939.010409945748,0,0,FALSE
"gene110",0.966773585234351,0.983159578204425,-152.578768169431,-153.051958439134,7,2,543.319143990289,0,0,FALSE
"gene111",0.823101239812128,0.899086673366424,-166.125743182499,-167.217890524957,7,2,925.304475399601,0,0,FALSE
"gene112",0.355779702507913,0.555905785168614,-157.916476541149,-160.676376180133,7,2,689.021530568195,0,0,FALSE
"gene113",0.3064229214494,0.500536424092226,-145.499431698894,-148.498383700499,7,2,333.066390550037,0,0,FALSE
"gene114",0.063561305368385,0.153777351697706,-149.56356647766,-154.786135895527,7,2,389.228951309616,0,0,FALSE
"gene115",0.20844699052345,0.39206330505978,-120.144231256236,-123.728201502462,7,2,132.322739343893,0,0,FALSE
"gene116",0.220896001155054,0.405722593558875,-70.8103664328219,-74.3086482442021,7,2,12.6297230766812,0,0,FALSE
"gene117",0.579479431101836,0.741338291388277,-156.507757610175,-158.404622448882,7,2,715.884638026167,0,0,FALSE
"gene118",0.602623327076694,0.759609235810959,-117.766640800745,-119.585619471079,7,2,95.8250950139336,0,0,FALSE
"gene119",0.0340169046220687,0.0940559574803742,-142.762122478267,-148.790553016159,7,2,386.291612746132,0,0,FALSE
"gene120",0.969924085979431,0.984694503532417,-153.856159935355,-154.308210042422,7,2,567.509488703568,0,0,FALSE
"gene121",0.913629724609565,0.940270728586173,-171.179582799742,-171.927153887042,7,2,977.134566556931,0,0,FALSE
"gene122",0.353156793337588,0.554696534038097,-152.414175433861,-155.186122225863,7,2,471.797331115872,0,0,FALSE
"gene123",0.280858722656211,0.472031466649095,-140.610922399102,-143.745743221385,7,2,503.742593105119,0,0,FALSE
"gene124",0.814575912508247,0.897388676944143,-123.009938874321,-124.131525521965,7,2,174.877091243354,0,0,FALSE
"gene125",0.0201651401836482,0.0590199224887263,-157.017493171386,-163.701408084038,7,2,653.020442736528,0,0,FALSE
