"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"gene107",0.00706469504989366,0.0163242413897236,-123.348389454683,-131.310346230363,7,2,170.658361468209,0,0,FALSE
"gene108",8.70655127010726e-05,0.000305493027021307,-162.975495900882,-176.003062834314,7,2,918.594445709601,0,0,FALSE
"gene109",0.0094651038064894,0.0206887514895943,-165.49598169479,-173.105653210142,7,2,697.830793534515,0,0,FALSE
"gene110",0.0315781342791041,0.0597056238106884,-152.993068418801,-159.115668555673,7,2,478.923654664567,0,0,FALSE
"gene111",1.8007445227226e-49,2.40099269696347e-47,-142.344135385081,-261.480893901433,7,2,537.768117535305,0,0,FALSE
"gene112",0.219358187618587,0.302836302223946,-147.793759363595,-151.302400404032,7,2,631.99341931896,0,0,FALSE
"gene113",0.000314036142403296,0.000989090212293846,-141.496605338873,-153.07864046442,7,2,430.635441525376,0,0,FALSE
"gene114",0.000271159191807711,0.000889046530517084,-157.452559649366,-169.201052053073,7,2,648.78006109142,0,0,FALSE
"gene115",0.00545166151569232,0.0129801464659341,-128.745235243643,-137.017080172127,7,2,175.137709226344,0,0,FALSE
"gene116",0.363781993615268,0.450504016861012,-74.3044086064368,-77.0279560764206,7,2,15.7537685193543,0,0,FALSE
"gene117",0.338766880847179,0.42767402865221,-175.521656790947,-178.360918458544,7,2,1114.15829439403,0,0,FALSE
"gene118",2.00097431779763e-05,7.92465076355499e-05,-124.276870616586,-138.939934962461,7,2,156.719688906397,0,0,FALSE
"gene119",0.651407155738674,0.715832039273269,-153.378983622785,-155.036937341557,7,2,471.070246018917,0,0,FALSE
"gene120",1.63321436730576e-07,1.04783542133945e-06,-146.299257628465,-166.202846796944,7,2,369.10870733674,0,0,FALSE
"gene121",0.232135546533762,0.313696684505083,-183.318042971873,-186.742409181489,7,2,1505.18326950844,0,0,FALSE
"gene122",0.17364731082159,0.253499723827139,-158.730732636478,-162.58003285119,7,2,560.323778756247,0,0,FALSE
"gene123",0.00914147893371624,0.0200911624916841,-161.709690929431,-169.361413959494,7,2,869.657080791204,0,0,FALSE
"gene124",0.00159757689467583,0.00440710867496782,-114.769995088968,-124.485255495733,7,2,133.866146440235,0,0,FALSE
"gene125",6.50554206308534e-37,5.20443365046827e-35,-137.324961352549,-227.126329328865,7,2,389.895193323908,0,0,FALSE
"gene126",0.146665563382786,0.223916890660742,-152.266586680221,-156.355866264063,7,2,563.267676248968,0,0,FALSE
"gene127",8.46196872837598e-08,5.73692795144134e-07,-139.375459978367,-159.986471577739,7,2,333.34562883358,0,0,FALSE
"gene128",0.0831404776673364,0.140916063842943,-139.740004819604,-144.6068810294,7,2,273.963087252497,0,0,FALSE
"gene129",0.106883907207422,0.17666761521888,-129.722000886244,-134.249583791293,7,2,194.121211493178,0,0,FALSE
"gene130",0.30076009297548,0.393231491452122,-150.198925039756,-153.227174493451,7,2,455.923641433857,0,0,FALSE
"gene131",0.299226068567866,0.393231491452122,-159.490126303789,-162.526387213175,7,2,716.973004038739,0,0,FALSE
"gene132",0.606637613994269,0.674041793326966,-118.597296696513,-120.402879485006,7,2,95.1452705665686,0,0,FALSE
"gene133",0.35492321885424,0.440898408514584,-100.149973948733,-102.913800162953,7,2,46.3883359110751,0,0,FALSE
"gene134",0.817110567531576,0.851518862280091,-157.740032248052,-158.852898221932,7,2,579.375748813503,0,0,FALSE
"gene135",7.39319227005986e-06,3.32278304272353e-05,-168.201545573071,-183.96162316719,7,2,1394.60475973497,0,0,FALSE
"gene136",2.12036543629767e-06,1.08736689040906e-05,-162.588955434994,-179.715371604125,7,2,966.81717377141,0,0,FALSE
"gene137",0.0048289455656378,0.0117065347045765,-165.148626909766,-173.564808675982,7,2,848.995673354088,0,0,FALSE
"gene138",0.00308534594949266,0.00786075401144626,-165.64991153569,-174.595721992437,7,2,722.653391445351,0,0,FALSE
"gene139",1.59986701134688e-05,6.73628215303949e-05,-184.107275175037,-199.017491638294,7,2,2087.65755370638,0,0,FALSE
"gene140",2.64734628349175e-07,1.56944267371164e-06,-141.704240901275,-161.087020085344,7,2,368.739068674721,0,0,FALSE
"gene141",3.99122637707265e-09,3.07017413620973e-08,-140.762642201946,-164.638576062557,7,2,439.285250895729,0,0,FALSE
"gene142",0.0347529665896072,0.0643573455363096,-154.467162730012,-160.468433702296,7,2,648.651562419189,0,0,FALSE
"gene143",2.47615373998304e-13,3.19503708384908e-12,-120.058460152016,-154.137379524702,7,2,142.819312524335,0,0,FALSE
"gene144",0.180628478596993,0.260835348154502,-132.376331029546,-136.168915038799,7,2,228.585569913274,0,0,FALSE
"gene145",0.0195089641816088,0.0388238093166345,-159.34071643715,-166.065631776409,7,2,915.675309432458,0,0,FALSE
"gene146",0.000372335785126487,0.0011604015913962,-137.364637882118,-148.753213965249,7,2,255.21450323701,0,0,FALSE
"gene147",0.000301534446804233,0.000964910229773547,-122.390613203929,-134.018740467124,7,2,195.957834000937,0,0,FALSE
"gene148",0.130241172342333,0.202856447413549,-168.974536294608,-173.229934413944,7,2,947.260901321905,0,0,FALSE
"gene149",1.77033662436833e-05,7.37640260153472e-05,-103.484811919182,-118.283221333139,7,2,51.3117346949248,0,0,FALSE
"gene150",2.0892332510666e-60,8.35693300426639e-58,-146.254666767136,-290.859656094777,7,2,418.641986240654,0,0,FALSE
"gene151",5.89508520220001e-11,5.48380018809303e-10,-157.206829920065,-185.545241421741,7,2,919.018533697288,0,0,FALSE
"gene152",0.147316085187904,0.224054882415062,-150.861481764332,-154.944530850769,7,2,432.39082597468,0,0,FALSE
"gene153",0.170843603842052,0.252872336502445,-147.982865313019,-151.855506537713,7,2,411.129676833627,0,0,FALSE
"gene154",4.80364141760441e-12,5.05646465010991e-11,-129.873068335831,-160.847815049197,7,2,229.487433442792,0,0,FALSE
"gene155",0.000206084053647875,0.000698590012365679,-161.781680155396,-173.840574637887,7,2,846.04267034513,0,0,FALSE
"gene156",3.57757308419586e-06,1.74515760204676e-05,-114.056695971078,-130.612074473112,7,2,121.217550533514,0,0,FALSE
"gene157",0.000448795056527265,0.00135848509368615,-161.30609229767,-172.482008817897,7,2,703.504777675325,0,0,FALSE
"gene158",0.496880575196997,0.566245669740167,-119.12202794554,-121.309160078807,7,2,94.5270489661034,0,0,FALSE
"gene159",0.159726223284642,0.240046276747739,-143.01750854567,-146.986149165518,7,2,318.639706810315,0,0,FALSE
